location,cause,year,val
Monaco,Cardiovascular diseases,1993,204.3253163
San Marino,Mesothelioma,1993,0.290094062
San Marino,Leukemia,1993,2.887262792
San Marino,Cardiovascular diseases,1993,60.3111519
Bulgaria,Chronic respiratory diseases,1991,3679.521662
Denmark,Cardiovascular diseases,1993,26588.57074
UK,Cardiovascular diseases,1993,281335.5481
UK,Chronic respiratory diseases,1993,38481.58685
Malta,Respiratory infections and tuberculosis,1994,109.355439
Andorra,Cardiovascular diseases,1994,82.68002934
Andorra,Chronic respiratory diseases,1994,19.65769759
Norway,Chronic respiratory diseases,1990,1523.064366
Slovenia,Chronic respiratory diseases,1990,672.945378
Latvia,Chronic respiratory diseases,1990,749.7458182
Hungary,Respiratory infections and tuberculosis,1993,1872.266914
Ireland,Respiratory infections and tuberculosis,1991,1950.128225
North Macedonia,Chronic respiratory diseases,1992,688.6759761
Portugal,Mesothelioma,1990,25.60817314
Croatia,Respiratory infections and tuberculosis,1993,1343.915556
Portugal,Respiratory infections and tuberculosis,1990,3853.416689
North Macedonia,Respiratory infections and tuberculosis,1992,454.114439
Denmark,Chronic respiratory diseases,1993,3610.513909
Portugal,Leukemia,1990,726.2168618
Portugal,Cardiovascular diseases,1990,45852.07103
Slovakia,Respiratory infections and tuberculosis,1991,2887.095609
Estonia,Mesothelioma,1990,2.501305695
Germany,Mesothelioma,1992,1008.614625
Germany,Leukemia,1992,6271.182245
Germany,Cardiovascular diseases,1992,426722.2651
Germany,Chronic respiratory diseases,1992,38572.26103
Andorra,Mesothelioma,1995,1.200583748
Andorra,Leukemia,1995,5.027896992
Cyprus,Respiratory infections and tuberculosis,1993,169.3451894
Greece,Cardiovascular diseases,1992,47068.03615
Serbia,Mesothelioma,1991,20.31908536
Serbia,Leukemia,1991,561.9764702
Andorra,Cardiovascular diseases,1990,64.54309551
Austria,Respiratory infections and tuberculosis,1991,1501.346598
Slovakia,Chronic respiratory diseases,1991,1022.194507
Denmark,Cardiovascular diseases,1990,26871.56267
Bulgaria,Mesothelioma,1992,9.491364058
Greece,Cardiovascular diseases,1993,46930.81536
Portugal,Chronic respiratory diseases,1990,4624.348133
Iceland,Leukemia,1992,13.47271743
Monaco,Respiratory infections and tuberculosis,1993,17.40408131
Italy,Mesothelioma,1996,1220.781744
Italy,Leukemia,1996,5556.456944
Andorra,Chronic respiratory diseases,1990,15.53380682
UK,Mesothelioma,1993,1857.553857
North Macedonia,Leukemia,1993,96.13025106
North Macedonia,Cardiovascular diseases,1993,10205.64676
North Macedonia,Leukemia,1990,88.98803121
North Macedonia,Cardiovascular diseases,1990,9280.474308
Montenegro,Chronic respiratory diseases,1992,53.41743634
Montenegro,Mesothelioma,1993,0.729550489
Montenegro,Leukemia,1993,29.69311389
Montenegro,Cardiovascular diseases,1993,2529.290841
UK,Respiratory infections and tuberculosis,1993,45709.82895
Norway,Chronic respiratory diseases,1994,1736.077436
Luxembourg,Mesothelioma,1995,4.72009024
Netherlands,Chronic respiratory diseases,1990,6933.755408
Latvia,Respiratory infections and tuberculosis,1994,845.565894
Iceland,Cardiovascular diseases,1992,768.0207349
Denmark,Chronic respiratory diseases,1990,3264.593274
Montenegro,Mesothelioma,1992,0.692982221
Montenegro,Leukemia,1992,29.112966
Bulgaria,Leukemia,1994,453.9796057
Bulgaria,Cardiovascular diseases,1994,83121.79978
Monaco,Chronic respiratory diseases,1995,16.16305354
Germany,Respiratory infections and tuberculosis,1992,19302.9625
Croatia,Respiratory infections and tuberculosis,1991,1292.883271
Latvia,Respiratory infections and tuberculosis,1990,525.0551165
Greece,Chronic respiratory diseases,1992,2622.525194
San Marino,Chronic respiratory diseases,1993,5.425658617
Montenegro,Respiratory infections and tuberculosis,1992,61.84405821
Serbia,Cardiovascular diseases,1996,63153.71876
North Macedonia,Chronic respiratory diseases,1993,682.852936
Estonia,Respiratory infections and tuberculosis,1990,296.64594
Luxembourg,Leukemia,1991,40.65191626
Luxembourg,Cardiovascular diseases,1991,1663.654457
Greece,Chronic respiratory diseases,1993,2610.729796
Montenegro,Cardiovascular diseases,1992,2370.696664
Slovenia,Respiratory infections and tuberculosis,1995,653.3903411
Andorra,Respiratory infections and tuberculosis,1995,8.31969592
North Macedonia,Chronic respiratory diseases,1990,658.6283393
Estonia,Chronic respiratory diseases,1990,332.2412529
Bulgaria,Chronic respiratory diseases,1994,3815.911369
San Marino,Chronic respiratory diseases,1994,5.561098101
Austria,Respiratory infections and tuberculosis,1994,1291.92616
Italy,Cardiovascular diseases,1991,229026.6416
Norway,Mesothelioma,1990,115.9535587
Norway,Leukemia,1990,246.2097383
Andorra,Mesothelioma,1992,1.029235672
Andorra,Leukemia,1992,4.448552543
Greece,Mesothelioma,1992,59.22918939
Greece,Leukemia,1992,1072.336821
Norway,Cardiovascular diseases,1990,21154.78824
Luxembourg,Respiratory infections and tuberculosis,1995,96.96748999
Norway,Respiratory infections and tuberculosis,1990,3062.973545
Serbia,Respiratory infections and tuberculosis,1991,1597.250245
Slovenia,Mesothelioma,1991,11.59968029
Slovenia,Leukemia,1991,128.9287328
Slovenia,Cardiovascular diseases,1991,8386.219564
Monaco,Mesothelioma,1996,0.744337222
Portugal,Mesothelioma,1994,26.99144663
Serbia,Chronic respiratory diseases,1996,4023.349414
Republic of Moldova,Cardiovascular diseases,1994,27295.17677
Poland,Mesothelioma,1992,74.73430625
Poland,Leukemia,1992,2550.889068
Spain,Chronic respiratory diseases,1990,22694.26281
Albania,Chronic respiratory diseases,1996,850.4781239
